Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
03.01.2024 10:45 - 03.01.2024 11:00,13919.0,15965.0
03.01.2024 11:00 - 03.01.2024 11:15,13824.0,15897.0
03.01.2024 11:15 - 03.01.2024 11:30,13743.0,15828.0
03.01.2024 11:30 - 03.01.2024 11:45,13633.0,15805.0
03.01.2024 11:45 - 03.01.2024 12:00,13586.0,15847.0
03.01.2024 12:00 - 03.01.2024 12:15,13531.0,15903.0
03.01.2024 12:15 - 03.01.2024 12:30,13445.0,15905.0
03.01.2024 12:30 - 03.01.2024 12:45,13513.0,15835.0
03.01.2024 12:45 - 03.01.2024 13:00,13482.0,15889.0
03.01.2024 13:00 - 03.01.2024 13:15,13483.0,15929.0
03.01.2024 13:15 - 03.01.2024 13:30,13517.0,15901.0
03.01.2024 13:30 - 03.01.2024 13:45,13587.0,15847.0
03.01.2024 13:45 - 03.01.2024 14:00,13682.0,15819.0
03.01.2024 14:00 - 03.01.2024 14:15,13810.0,15820.0
03.01.2024 14:15 - 03.01.2024 14:30,13815.0,15890.0
03.01.2024 14:30 - 03.01.2024 14:45,13766.0,15872.0
03.01.2024 14:45 - 03.01.2024 15:00,13794.0,15965.0
03.01.2024 15:00 - 03.01.2024 15:15,13785.0,15972.0
03.01.2024 15:15 - 03.01.2024 15:30,13723.0,16095.0
03.01.2024 15:30 - 03.01.2024 15:45,13732.0,16226.0
03.01.2024 15:45 - 03.01.2024 16:00,13758.0,16306.0
03.01.2024 16:00 - 03.01.2024 16:15,13906.0,16400.0
03.01.2024 16:15 - 03.01.2024 16:30,13895.0,16506.0
03.01.2024 16:30 - 03.01.2024 16:45,13969.0,16617.0
03.01.2024 16:45 - 03.01.2024 17:00,14063.0,16930.0
03.01.2024 17:00 - 03.01.2024 17:15,14139.0,17040.0
03.01.2024 17:15 - 03.01.2024 17:30,14106.0,17272.0
03.01.2024 17:30 - 03.01.2024 17:45,14130.0,17365.0
03.01.2024 17:45 - 03.01.2024 18:00,14100.0,17310.0
03.01.2024 18:00 - 03.01.2024 18:15,13948.0,16938.0
